Подразделение,Магазин ID,Наименование магазина,Бюджет товарооборот,Среднемесячный товарооборот,План золото 2026,Доход золото. Коэффициент 6%,План серебро 2026,Доход серебро. Коэффициент 9%,План Аксессуары 2026,Доход Аксессуары. Коэффициент 6%,План кожа 2026,План кожзам и товары с коэффициентом обуви 
Краснодар,13153.0,"Ст. Ленинградская, ТК Солнечный",40457746.83499997,3371478.9029166643,0.0,0.0,400000.0,36000.0,467931.3864098462,28075.88318459077,441082.76532703167,2062464.7511797864
Кавказ,13154.0,"Махачкала, ТРЦ Миркато",48639580.6749068,4053298.3895755666,0.0,0.0,400000.0,36000.0,771905.2201410444,46314.313208462656,425957.92134259484,2455435.2480919273
Ростов,13159.0,"Кирова ул., 86, Сальск",36070654.8546667,3005887.9045555587,0.0,0.0,400000.0,36000.0,271629.9368601515,16297.796211609088,442815.8468240163,1891442.1208713907
Черноморское,13163.0,"Станица Отрадная, Первомайская ул., 64Е/1",20662143.839999985,1721845.3199999987,0.0,0.0,400000.0,36000.0,212572.3579130224,12754.341474781344,227686.28221117408,881586.6798758022
Черноморское,13164.0,"Ростов-на-Дону, ТРЦ РИО",53322072.3799278,4443506.03166065,0.0,0.0,400000.0,36000.0,709819.7183958996,42589.183103753974,744560.9619792786,2589125.3512854716
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,9022633468.004333,751886122.3336941,76288443.00646794,4577306.580388075,55587806.714259505,5002902.604283357,104605430.19172445,6276325.81150347,153068491.63849154,362335950.7827506
